ncb,fy,gross_loss,pre_provision_result_eur_m,provisions_released_eur_m,net_result_eur_m,loss_carried_forward_eur_m,transfer_to_state_eur_m,negative_equity,publication_date,source_url,note,net_loss_technical
GR,2023,0.0,176.1,,,,,,,https://www.ot.gr/2025/03/04/epixeiriseis/trapezes/trapeza-tis-ellados-kathara-kerdi-829-ekat-eyro-protasi-gia-merisma-067-eyro/,pre-provision profit,0
GR,2024,0.0,31.9,51.0,82.9,,69.6,,2025-03-04,https://www.bankofgreece.gr/en/news-and-media/press-office/news-list/news?announcement=a96b883a-ebe0-4338-80b7-845f446bea1e,listed; statutory dividend 13.3m to shareholders; high-yield own sovereign portfolio -> never gross loss so far,0
IE,2023,1.0,-132.0,,0.0,,0.0,,,https://www.audit.gov.ie/en/find-report/publications/2025/1-exchequer-financial-outturn-for-2024.pdf,loss 132m covered by financial risk reserve; breakeven reported; nil transfer to Exchequer in 2024 (C&AG),0
IE,2024,1.0,-795.0,,0.0,,,,2025-05-29,https://www.audit.gov.ie/en/find-report/publications/2025/1-exchequer-financial-outturn-for-2024.pdf,loss 795m covered by financial risk reserve (C&AG); RTE report 2025-05-29; losses expected 2025 to be covered by buffers,0
IE,2025,1.0,-104.6,,,,,,,https://www.rte.ie/news/business/2026/0605/1576935-central-bank-of-irelands-2025-results/,media report dated 2026-06-05; annual report date to check,0
IT,2023,1.0,-7100.0,,815.0,,,,,https://borsaefinanza.it/banca-d-italia-utile-come-verra-distribuito/,gross loss; net profit via provisions and tax,0
IT,2024,1.0,-7300.0,5800.0,844.0,,644.0,,2025-03-31,https://www.bancaditalia.it/pubblicazioni/bilancio-esercizio/2025-bilancio-esercizio/index.html,dividend to private participants 200m + 140m stabilisation reserve,0
IT,2025,0.0,,,1650.0,,,,,https://borsaefinanza.it/banca-d-italia-utile-come-verra-distribuito/,gross profit restored,0
LT,2023,,,,,,,,,https://www.baltictimes.com/president_to_propose_increasing_bank_of_lithuania_s_contribution_to_state_budget/,governor: 2023 'not a profitable year' (sign of net result unclear -> left blank); interest on Finance Ministry deposits 110m transferred,0
LT,2024,,,,20.0,,,,,https://www.baltictimes.com/president_to_propose_increasing_bank_of_lithuania_s_contribution_to_state_budget/,"profit of more than 20m (governor, Jan 2025); PRESSURE EVENT: President proposes law change to raise profit contribution for defence (2025-01-24)",0
LU,2023,,,,0.0,,,,2024-04-24,https://www.bcl.lu/fr/media_actualites/communiques/2024/07/ra/index.html,'résultat équilibré' (balanced result); discharge date; gross result not stated,0
LU,2024,,,,0.0,,,,2025-04-25,https://www.bcl.lu/fr/media_actualites/communiques/2025/07/rapport-annuel/index.html,'résultat équilibré'; discharge date; press release 2025-07-31,0
LV,2024,,,,,,,,2025-05-13,https://eng.lsm.lv/article/economy/banks/13.05.2025-latvian-central-bank-posts-its-annual-results.a598801/,total recognised gains 214m (2023: 143m); capital and reserves +30%; gross_loss definition unclear -> left blank,0
NL,2022,1.0,,,-460.0,,0.0,,,https://fd.nl/economie/1471511/dnb-boekt-fors-verlies-negatief-eigen-vermogen-mogelijk,no dividend to state,0
NL,2023,1.0,-3500.0,2300.0,-1100.0,,0.0,,2024-03-14,https://www.dnb.nl/algemeen-nieuws/nieuws-2024/dnb-boekt-negatief-resultaat-van-3-5-miljard-euro-in-2023/,1.1bn charged to capital and reserves; annual report 14 March,0
NL,2024,1.0,,,-3000.0,,0.0,,,https://www.accountant.nl/nieuws/2026/3/dnb-voorziet-ook-voor-komende-jaren-nog-verliezen/,reported as more than 3bn (exact open),0
NL,2025,1.0,,,-967.0,,0.0,,,https://www.accountant.nl/nieuws/2026/3/dnb-voorziet-ook-voor-komende-jaren-nog-verliezen/,losses expected to persist longer,0
PT,2022,0.0,,,,,238.0,,,https://www.dn.pt/economia/banco-de-portugal-deixou-de-dar-lucros-ao-estado-n%C3%A3o-esperaria-dividendos-t%C3%A3o-cedo-diz-centeno,last profitable year; dividend about 238m,0
PT,2023,1.0,-1054.0,,,,0.0,,,https://observador.pt/2025/05/21/banco-de-portugal-volta-a-usar-almofada-antiga-para-compensar-prejuizos-anuais-de-1-142-milhoes/,covered by general risk provision; net figure not yet read,0
PT,2024,1.0,-1142.0,,1.5,,0.0,,2025-05-21,https://jornaleconomico.sapo.pt/noticias/banco-de-portugal-com-lucros-de-15-milhoes/,net positive via deferred tax assets; remaining provisions 1715.8m,0
PT,2025,1.0,-304.0,304.0,-1.4,,0.0,,2026-04-23,https://eco.sapo.pt/2026/04/23/banco-de-portugal-encerra-2025-com-prejuizos-de-14-milhoes-de-euros/,"TECHNICAL net loss from deferred taxes, not operating; treat separately in net definition; governor changed Oct 2025",1
SK,2022,1.0,,,-156.0,,,1.0,,https://openiazoch.zoznam.sk/financie/narodna-banka-slovenska-po-vyse-dekade-opat-skoncila-v-strate-co-bolo-dovodom/,first negative result since 2011; LEGACY negative equity (about -1.5bn) predates 2022,0
SK,2023,1.0,,,0.0,,,,2024-03-15,https://www.nrsr.sk/web/Dynamic/DocumentPreview.aspx?DocID=544311,loss covered by reserves for financial risks; report date,0
SK,2024,1.0,,,0.0,,,,2025-03-11,https://www.nrsr.sk/web/Dynamic/Download.aspx?DocID=561207,monetary policy loss 293m; covered by reserves,0
