id,topic,position,retrospective,coder,codebook
C00074,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00075,0,,.,model-in-conversation,PAPv2-Y4-p2
C00076,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00077,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00078,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00079,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00080,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00081,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00082,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00083,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00084,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00085,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00086,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00087,0,,.,model-in-conversation,PAPv2-Y4-p2
C00088,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00089,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00090,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00091,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00092,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00093,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00094,0,,.,model-in-conversation,PAPv2-Y4-p2
C00095,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00096,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00097,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00098,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00099,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00100,0,,.,model-in-conversation,PAPv2-Y4-p2
C00101,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00102,0,,.,model-in-conversation,PAPv2-Y4-p2
C00103,0,,.,model-in-conversation,PAPv2-Y4-p2
C00104,0,,.,model-in-conversation,PAPv2-Y4-p2
C00105,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00106,0,,.,model-in-conversation,PAPv2-Y4-p2
C00107,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00108,0,,.,model-in-conversation,PAPv2-Y4-p2
C00109,0,,.,model-in-conversation,PAPv2-Y4-p2
C00110,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00111,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00112,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00113,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00114,1,-1,1,model-in-conversation,PAPv2-Y4-p2
C00115,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00116,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00117,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00118,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00119,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00120,0,,.,model-in-conversation,PAPv2-Y4-p2
C00121,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00122,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00123,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00124,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00125,0,,.,model-in-conversation,PAPv2-Y4-p2
C00126,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00127,1,-1,1,model-in-conversation,PAPv2-Y4-p2
C00128,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00129,0,,.,model-in-conversation,PAPv2-Y4-p2
C00130,0,,.,model-in-conversation,PAPv2-Y4-p2
C00131,0,,.,model-in-conversation,PAPv2-Y4-p2
C00132,0,,.,model-in-conversation,PAPv2-Y4-p2
C00133,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00134,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00135,0,,.,model-in-conversation,PAPv2-Y4-p2
C00136,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00137,0,,.,model-in-conversation,PAPv2-Y4-p2
C00138,0,,.,model-in-conversation,PAPv2-Y4-p2
C00139,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00140,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00141,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00142,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00143,0,,.,model-in-conversation,PAPv2-Y4-p2
C00144,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00145,0,,.,model-in-conversation,PAPv2-Y4-p2
C00146,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00147,0,,.,model-in-conversation,PAPv2-Y4-p2
C00148,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00149,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00150,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00151,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00152,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00153,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00154,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00155,0,,.,model-in-conversation,PAPv2-Y4-p2
C00156,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00157,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00158,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00159,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00160,0,,.,model-in-conversation,PAPv2-Y4-p2
C00161,0,,.,model-in-conversation,PAPv2-Y4-p2
C00162,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00163,0,,.,model-in-conversation,PAPv2-Y4-p2
C00164,0,,.,model-in-conversation,PAPv2-Y4-p2
C00165,0,,.,model-in-conversation,PAPv2-Y4-p2
C00166,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00167,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00168,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00169,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00170,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00171,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00172,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00173,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00174,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00175,0,,.,model-in-conversation,PAPv2-Y4-p2
C00176,0,,.,model-in-conversation,PAPv2-Y4-p2
C00177,0,,.,model-in-conversation,PAPv2-Y4-p2
C00178,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00179,0,,.,model-in-conversation,PAPv2-Y4-p2
C00180,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00181,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00182,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00183,0,,.,model-in-conversation,PAPv2-Y4-p2
C00184,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00185,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00186,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00187,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00188,0,,.,model-in-conversation,PAPv2-Y4-p2
C00189,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00190,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00191,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00192,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00193,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00194,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00195,0,,.,model-in-conversation,PAPv2-Y4-p2
C00196,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00197,0,,.,model-in-conversation,PAPv2-Y4-p2
C00198,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00199,0,,.,model-in-conversation,PAPv2-Y4-p2
C00200,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00201,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00202,0,,.,model-in-conversation,PAPv2-Y4-p2
C00203,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00204,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00205,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00206,0,,.,model-in-conversation,PAPv2-Y4-p2
C00207,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00208,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00209,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00210,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00211,0,,.,model-in-conversation,PAPv2-Y4-p2
C00212,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00213,0,,.,model-in-conversation,PAPv2-Y4-p2
C00214,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00215,0,,.,model-in-conversation,PAPv2-Y4-p2
C00216,0,,.,model-in-conversation,PAPv2-Y4-p2
C00217,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00218,0,,.,model-in-conversation,PAPv2-Y4-p2
C00219,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00220,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00221,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00222,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00223,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00224,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00225,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00226,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00227,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00228,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00229,0,,.,model-in-conversation,PAPv2-Y4-p2
C00230,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00231,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00232,0,,.,model-in-conversation,PAPv2-Y4-p2
C00233,0,,.,model-in-conversation,PAPv2-Y4-p2
C00234,0,,.,model-in-conversation,PAPv2-Y4-p2
C00235,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00236,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00237,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00238,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00239,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00240,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00241,1,-1,1,model-in-conversation,PAPv2-Y4-p2
C00242,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00243,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00244,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00245,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00246,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00247,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00248,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00249,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00250,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00251,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00252,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00253,0,,.,model-in-conversation,PAPv2-Y4-p2
C00254,0,,.,model-in-conversation,PAPv2-Y4-p2
C00255,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00256,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00257,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00258,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00259,0,,.,model-in-conversation,PAPv2-Y4-p2
C00260,0,,.,model-in-conversation,PAPv2-Y4-p2
C00261,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00262,0,,.,model-in-conversation,PAPv2-Y4-p2
C00263,0,,.,model-in-conversation,PAPv2-Y4-p2
C00264,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00265,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00266,0,,.,model-in-conversation,PAPv2-Y4-p2
C00267,0,,.,model-in-conversation,PAPv2-Y4-p2
C00268,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00269,0,,.,model-in-conversation,PAPv2-Y4-p2
C00270,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00271,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00272,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00273,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00274,0,,.,model-in-conversation,PAPv2-Y4-p2
C00275,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00276,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00277,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00278,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00279,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00280,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00281,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00282,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00283,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00284,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00285,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00286,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00287,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00288,0,,.,model-in-conversation,PAPv2-Y4-p2
C00289,0,,.,model-in-conversation,PAPv2-Y4-p2
C00290,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00291,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00292,0,,.,model-in-conversation,PAPv2-Y4-p2
C00293,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00294,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00295,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00296,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00297,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00298,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00299,0,,.,model-in-conversation,PAPv2-Y4-p2
C00300,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00301,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00302,0,,.,model-in-conversation,PAPv2-Y4-p2
C00303,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00304,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00305,0,,.,model-in-conversation,PAPv2-Y4-p2
C00306,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00307,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00308,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00309,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00310,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00311,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00312,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00313,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00314,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00315,0,,.,model-in-conversation,PAPv2-Y4-p2
C00316,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00317,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00318,0,,.,model-in-conversation,PAPv2-Y4-p2
C00319,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00320,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00321,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00322,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00323,0,,.,model-in-conversation,PAPv2-Y4-p2
C00324,0,,.,model-in-conversation,PAPv2-Y4-p2
C00325,0,,.,model-in-conversation,PAPv2-Y4-p2
C00326,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00327,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00328,0,,.,model-in-conversation,PAPv2-Y4-p2
C00329,0,,.,model-in-conversation,PAPv2-Y4-p2
C00330,0,,.,model-in-conversation,PAPv2-Y4-p2
C00331,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00332,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00333,0,,.,model-in-conversation,PAPv2-Y4-p2
C00334,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00335,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00336,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00337,0,,.,model-in-conversation,PAPv2-Y4-p2
C00338,0,,.,model-in-conversation,PAPv2-Y4-p2
C00339,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00340,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00341,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00342,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00343,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00344,0,,.,model-in-conversation,PAPv2-Y4-p2
C00345,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00346,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00347,0,,.,model-in-conversation,PAPv2-Y4-p2
C00348,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00349,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00350,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00351,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00352,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00353,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00354,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00355,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00356,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00357,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00358,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00359,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00360,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00361,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00362,0,,.,model-in-conversation,PAPv2-Y4-p2
C00363,0,,.,model-in-conversation,PAPv2-Y4-p2
C00364,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00365,0,,.,model-in-conversation,PAPv2-Y4-p2
C00366,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00367,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00368,0,,.,model-in-conversation,PAPv2-Y4-p2
C00369,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00370,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00371,0,,.,model-in-conversation,PAPv2-Y4-p2
C00372,0,,.,model-in-conversation,PAPv2-Y4-p2
C00373,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00374,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00375,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00376,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00377,0,,.,model-in-conversation,PAPv2-Y4-p2
C00378,0,,.,model-in-conversation,PAPv2-Y4-p2
C00379,0,,.,model-in-conversation,PAPv2-Y4-p2
C00380,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00381,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00382,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00383,0,,.,model-in-conversation,PAPv2-Y4-p2
C00384,0,,.,model-in-conversation,PAPv2-Y4-p2
C00385,0,,.,model-in-conversation,PAPv2-Y4-p2
C00386,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00387,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00388,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00389,0,,.,model-in-conversation,PAPv2-Y4-p2
C00390,0,,.,model-in-conversation,PAPv2-Y4-p2
C00391,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00392,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00393,0,,.,model-in-conversation,PAPv2-Y4-p2
C00394,0,,.,model-in-conversation,PAPv2-Y4-p2
C00395,0,,.,model-in-conversation,PAPv2-Y4-p2
C00396,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00397,0,,.,model-in-conversation,PAPv2-Y4-p2
C00398,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00399,0,,.,model-in-conversation,PAPv2-Y4-p2
C00400,0,,.,model-in-conversation,PAPv2-Y4-p2
C00401,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00402,0,,.,model-in-conversation,PAPv2-Y4-p2
C00403,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00404,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00405,0,,.,model-in-conversation,PAPv2-Y4-p2
C00406,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00407,0,,.,model-in-conversation,PAPv2-Y4-p2
C00408,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00409,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00410,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00411,0,,.,model-in-conversation,PAPv2-Y4-p2
C00412,0,,.,model-in-conversation,PAPv2-Y4-p2
C00413,0,,.,model-in-conversation,PAPv2-Y4-p2
C00414,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00415,0,,.,model-in-conversation,PAPv2-Y4-p2
C00416,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00417,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00418,0,,.,model-in-conversation,PAPv2-Y4-p2
C00419,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00420,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00421,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00422,0,,.,model-in-conversation,PAPv2-Y4-p2
C00423,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00424,0,,.,model-in-conversation,PAPv2-Y4-p2
C00425,0,,.,model-in-conversation,PAPv2-Y4-p2
C00426,0,,.,model-in-conversation,PAPv2-Y4-p2
C00427,0,,.,model-in-conversation,PAPv2-Y4-p2
C00428,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00429,0,,.,model-in-conversation,PAPv2-Y4-p2
C00430,0,,.,model-in-conversation,PAPv2-Y4-p2
C00431,0,,.,model-in-conversation,PAPv2-Y4-p2
C00432,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00433,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00434,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00435,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00436,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00437,0,,.,model-in-conversation,PAPv2-Y4-p2
C00438,0,,.,model-in-conversation,PAPv2-Y4-p2
C00439,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00440,0,,.,model-in-conversation,PAPv2-Y4-p2
C00441,1,1,0,model-in-conversation,PAPv2-Y4-p2
C00442,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00443,0,,.,model-in-conversation,PAPv2-Y4-p2
C00444,0,,.,model-in-conversation,PAPv2-Y4-p2
C00445,1,0,0,model-in-conversation,PAPv2-Y4-p2
C00446,1,1,1,model-in-conversation,PAPv2-Y4-p2
C00447,0,,.,model-in-conversation,PAPv2-Y4-p2
C00448,1,0,1,model-in-conversation,PAPv2-Y4-p2
C00449,0,,.,model-in-conversation,PAPv2-Y4-p2
C00450,1,-1,0,model-in-conversation,PAPv2-Y4-p2
C00451,0,,.,model-in-conversation,PAPv2-Y4-p2
C00452,0,,.,model-in-conversation,PAPv2-Y4-p2
