id,valid,topic,position,retrospective
C00106,True,False,,False
C00107,True,True,0.0,True
C00108,True,False,,False
C00109,True,False,,False
C00110,True,True,1.0,False
C00111,True,True,1.0,False
C00112,True,True,1.0,False
C00113,True,True,1.0,False
C00114,True,True,-1.0,True
C00115,True,True,-1.0,False
C00116,True,True,0.0,False
C00117,True,True,-1.0,False
C00118,True,True,1.0,False
C00119,True,True,-1.0,False
C00120,True,False,,False
C00121,True,True,1.0,False
C00122,True,True,1.0,False
C00123,True,True,-1.0,False
C00124,True,True,0.0,False
C00125,True,False,,False
C00126,True,True,0.0,True
C00127,True,True,-1.0,True
C00128,True,True,1.0,False
C00129,True,False,,False
C00130,True,False,,False
C00131,True,False,,False
C00132,True,False,,False
C00133,True,True,0.0,False
C00134,True,True,1.0,False
C00135,True,False,,False
C00136,True,True,0.0,False
C00137,True,False,,False
C00138,True,False,,False
C00139,True,True,-1.0,False
C00140,True,True,0.0,True
C00141,True,True,0.0,True
C00142,True,True,0.0,False
C00143,True,False,,False
C00144,True,True,0.0,False
C00145,True,False,,False
C00146,True,True,1.0,False
C00147,True,False,,False
C00148,True,True,0.0,False
C00149,True,True,0.0,False
C00150,True,True,1.0,False
C00151,True,True,1.0,False
C00152,True,True,1.0,True
C00153,True,True,0.0,False
C00154,True,True,-1.0,False
C00155,True,False,,False
C00156,True,True,1.0,False
C00157,True,True,0.0,False
C00158,True,True,-1.0,False
C00159,True,True,0.0,False
C00160,True,False,,False
C00161,True,False,,False
C00162,True,True,0.0,False
C00163,True,False,,False
C00164,True,False,,False
C00165,True,False,,False
C00166,True,True,1.0,False
C00167,True,True,0.0,False
C00168,True,True,0.0,False
C00169,True,True,1.0,False
C00170,True,True,0.0,False
C00171,True,True,0.0,False
C00172,True,True,0.0,False
C00173,True,True,1.0,False
C00174,True,True,0.0,False
C00175,True,False,,False
C00176,True,False,,False
C00177,True,False,,False
C00178,True,True,0.0,False
C00179,True,False,,False
C00180,True,True,-1.0,False
C00181,True,True,-1.0,False
C00182,True,True,-1.0,False
C00183,True,False,,False
C00184,True,True,0.0,False
C00185,True,True,1.0,True
C00186,True,True,1.0,False
C00187,True,True,0.0,False
C00188,True,False,,False
C00189,True,True,1.0,False
C00190,True,True,-1.0,False
C00191,True,True,0.0,False
C00192,True,True,1.0,False
C00193,True,True,-1.0,False
C00194,True,True,-1.0,False
C00195,True,False,,False
C00196,True,True,0.0,True
C00197,True,False,,False
C00198,True,True,1.0,False
C00199,True,False,,False
C00200,True,True,-1.0,False
C00201,True,True,1.0,False
C00202,True,False,,False
C00203,True,True,0.0,False
C00204,True,True,0.0,False
C00205,True,True,-1.0,False
C00206,True,False,,False
C00207,True,True,1.0,False
C00208,True,True,0.0,True
C00209,True,True,-1.0,False
C00210,True,True,-1.0,False
C00211,True,False,,False
C00212,True,True,-1.0,False
C00213,True,False,,False
C00214,True,True,1.0,False
C00215,True,False,,False
C00216,True,False,,False
C00217,True,True,1.0,False
C00218,True,False,,False
C00219,True,True,1.0,True
C00220,True,True,0.0,False
C00221,True,True,0.0,True
C00222,True,True,1.0,False
C00223,True,True,1.0,False
C00224,True,True,1.0,False
C00225,True,True,0.0,True
C00226,True,True,0.0,False
C00227,True,True,-1.0,False
C00228,True,True,0.0,False
C00229,True,False,,False
C00230,True,True,0.0,True
C00231,True,True,-1.0,False
C00232,True,False,,False
C00233,True,False,,False
C00234,True,False,,False
C00235,True,True,0.0,False
C00236,True,True,0.0,False
C00237,True,True,0.0,False
C00238,True,True,-1.0,False
C00239,True,True,0.0,False
C00240,True,True,1.0,False
C00241,True,True,-1.0,True
C00242,True,True,0.0,False
C00243,True,True,-1.0,False
C00244,True,True,0.0,False
C00245,True,True,0.0,False
C00246,True,True,1.0,False
C00247,True,True,1.0,False
C00248,True,True,-1.0,False
C00249,True,True,-1.0,False
C00250,True,True,0.0,False
C00251,True,True,1.0,False
C00252,True,True,1.0,False
C00253,True,False,,False
C00254,True,False,,False
C00255,True,True,1.0,False
C00256,True,True,0.0,False
C00257,True,True,0.0,False
C00258,True,True,0.0,True
C00259,True,False,,False
C00260,True,False,,False
C00261,True,True,0.0,False
C00262,True,False,,False
C00263,True,False,,False
C00264,True,True,0.0,False
C00265,True,True,1.0,True
C00266,True,False,,False
C00267,True,False,,False
C00268,True,True,-1.0,False
C00269,True,False,,False
C00270,True,True,-1.0,False
C00271,True,True,1.0,False
C00272,True,True,0.0,False
C00273,True,True,-1.0,False
C00274,True,False,,False
C00275,True,True,0.0,False
C00276,True,True,-1.0,False
C00277,True,True,-1.0,False
C00278,True,True,1.0,False
C00279,True,True,1.0,False
C00280,True,True,1.0,False
C00281,True,True,0.0,True
C00282,True,True,0.0,False
C00283,True,True,1.0,False
C00284,True,True,0.0,False
C00285,True,True,-1.0,False
C00286,True,True,0.0,False
C00287,True,True,0.0,True
C00288,True,False,,False
C00289,True,False,,False
C00290,True,True,1.0,False
C00291,True,True,0.0,True
C00292,True,False,,False
C00293,True,True,1.0,False
C00294,True,True,1.0,True
C00295,True,True,0.0,False
C00296,True,True,1.0,True
C00297,True,True,0.0,False
C00298,True,True,-1.0,False
C00299,True,False,,False
C00300,True,True,0.0,True
C00301,True,True,0.0,False
C00302,True,False,,False
C00303,True,True,0.0,False
C00304,True,True,0.0,False
C00305,True,False,,False
C00306,True,True,0.0,False
C00307,True,True,0.0,False
C00308,True,True,-1.0,False
C00309,True,True,1.0,False
C00310,True,True,0.0,False
C00311,True,True,1.0,False
C00312,True,True,0.0,True
C00313,True,True,1.0,False
C00314,True,True,0.0,False
C00315,True,False,,False
C00316,True,True,-1.0,False
C00317,True,True,-1.0,False
C00318,True,False,,False
C00319,True,True,-1.0,False
C00320,True,True,1.0,False
C00321,True,True,0.0,False
C00322,True,True,1.0,True
C00323,True,False,,False
C00324,True,False,,False
C00325,True,False,,False
C00326,True,True,-1.0,False
C00327,True,True,-1.0,False
C00328,True,False,,False
C00329,True,False,,False
C00330,True,False,,False
C00331,True,True,0.0,False
C00332,True,True,1.0,False
C00333,True,False,,False
C00334,True,True,0.0,False
C00335,True,True,1.0,False
C00336,True,True,0.0,False
C00337,True,False,,False
C00338,True,False,,False
C00339,True,True,0.0,False
C00340,True,True,0.0,False
C00341,True,True,0.0,True
C00342,True,True,-1.0,False
C00343,True,True,1.0,False
C00344,True,False,,False
C00345,True,True,0.0,True
C00346,True,True,0.0,False
C00347,True,False,,False
C00348,True,True,0.0,False
C00349,True,True,-1.0,False
C00350,True,True,0.0,False
C00351,True,True,0.0,False
C00352,True,True,1.0,False
C00353,True,True,-1.0,False
C00354,True,True,1.0,False
C00355,True,True,0.0,False
C00356,True,True,1.0,False
C00357,True,True,0.0,True
C00358,True,True,0.0,False
C00359,True,True,-1.0,False
C00360,True,True,0.0,False
C00361,True,True,1.0,True
C00362,True,False,,False
C00363,True,False,,False
C00364,True,True,0.0,True
C00365,True,False,,False
C00366,True,True,0.0,True
C00367,True,True,0.0,False
C00368,True,False,,False
C00369,True,True,1.0,False
C00370,True,True,1.0,False
C00371,True,False,,False
C00372,True,False,,False
C00373,True,True,0.0,False
C00374,True,True,1.0,True
C00375,True,True,1.0,False
C00376,True,True,1.0,True
C00377,True,False,,False
C00378,True,False,,False
C00379,True,False,,False
C00380,True,True,0.0,False
C00381,True,True,1.0,False
C00382,True,True,1.0,False
C00383,True,False,,False
C00384,True,False,,False
C00385,True,False,,False
C00386,True,True,1.0,True
C00387,True,True,1.0,False
C00388,True,True,1.0,False
C00389,True,False,,False
C00390,True,False,,False
C00391,True,True,0.0,True
C00392,True,True,-1.0,False
C00393,True,False,,False
C00394,True,False,,False
C00395,True,False,,False
C00396,True,True,0.0,True
C00397,True,False,,False
C00398,True,True,0.0,False
C00399,True,False,,False
C00400,True,False,,False
C00401,True,True,0.0,False
C00402,True,False,,False
C00403,True,True,0.0,False
C00404,True,True,0.0,False
C00405,True,False,,False
C00406,True,True,0.0,False
C00407,True,False,,False
C00408,True,True,-1.0,False
C00409,True,True,1.0,False
C00410,True,True,0.0,False
C00411,True,False,,False
C00412,True,False,,False
C00413,True,False,,False
C00414,True,True,1.0,False
C00415,True,False,,False
C00416,True,True,-1.0,False
C00417,True,True,-1.0,False
C00418,True,False,,False
C00419,True,True,0.0,False
C00420,True,True,-1.0,False
C00421,True,True,1.0,False
C00422,True,False,,False
C00423,True,True,1.0,True
C00424,True,False,,False
C00425,True,False,,False
C00426,True,False,,False
C00427,True,False,,False
C00428,True,True,0.0,False
C00429,True,False,,False
C00430,True,False,,False
C00431,True,False,,False
C00432,True,True,1.0,True
C00433,True,True,-1.0,False
C00434,True,True,0.0,True
C00435,True,True,1.0,False
C00436,True,True,-1.0,False
C00437,True,False,,False
C00438,True,False,,False
C00439,True,True,0.0,False
C00440,True,False,,False
C00441,True,True,1.0,False
C00442,True,True,0.0,True
C00443,True,False,,False
C00444,True,False,,False
C00445,True,True,0.0,False
C00446,True,True,1.0,True
C00447,True,False,,False
C00448,True,True,0.0,True
C00449,True,False,,False
C00450,True,True,-1.0,False
C00451,True,False,,False
C00452,True,False,,False
C00453,True,True,1.0,False
C00454,True,False,,False
C00455,True,True,-1.0,True
C00456,True,True,1.0,True
C00457,True,True,0.0,False
C00458,True,True,1.0,False
C00459,True,False,,False
C00460,True,True,-1.0,False
C00461,True,True,0.0,True
C00462,True,True,-1.0,False
C00463,True,True,0.0,False
C00464,True,False,,False
C00465,True,True,1.0,False
C00466,True,False,,False
C00467,True,True,-1.0,True
C00468,True,False,,False
C00469,True,True,0.0,False
C00470,True,False,,False
C00471,True,False,,False
C00472,True,True,0.0,False
C00473,True,False,,False
C00474,True,True,-1.0,False
C00475,True,False,,False
C00476,True,True,1.0,True
C00477,True,True,0.0,False
C00478,True,True,1.0,False
C00479,True,False,,False
C00480,True,True,0.0,False
C00481,True,True,0.0,True
C00482,True,True,0.0,False
C00483,True,True,-1.0,False
C00484,True,False,,False
C00485,True,True,1.0,True
C00486,True,True,-1.0,True
C00487,True,False,,False
C00488,True,False,,False
C00489,True,False,,False
C00490,True,False,,False
C00491,True,True,1.0,False
C00492,True,True,-1.0,False
C00493,True,False,,False
C00494,True,True,1.0,True
C00495,True,True,-1.0,False
C00496,True,True,1.0,False
C00497,True,True,0.0,False
C00498,True,True,-1.0,False
C00499,True,True,-1.0,False
C00500,True,False,,False
C00501,True,False,,False
C00502,True,True,0.0,False
C00503,True,False,,False
C00504,True,True,0.0,True
C00505,True,True,0.0,True
C00506,True,False,,False
C00507,True,False,,False
C00508,True,True,0.0,False
C00509,True,False,,False
C00510,True,False,,False
C00511,True,False,,False
C00512,True,True,0.0,False
C00513,True,True,-1.0,False
C00514,True,False,,False
C00515,True,False,,False
C00516,True,False,,False
C00517,True,False,,False
C00518,True,True,-1.0,True
C00519,True,True,1.0,False
C00520,True,True,0.0,False
C00521,True,True,0.0,True
C00522,True,False,,False
C00523,True,False,,False
C00524,True,False,,False
C00525,True,False,,False
C00526,True,False,,False
C00527,True,True,1.0,True
C00528,True,True,-1.0,False
C00529,True,True,0.0,False
C00530,True,True,0.0,False
C00531,True,False,,False
C00532,True,True,1.0,False
C00533,True,False,,False
C00534,True,True,0.0,False
C00535,True,False,,False
C00536,True,True,1.0,False
C00537,True,True,1.0,False
C00538,True,True,1.0,False
C00539,True,False,,False
C00540,True,False,,False
C00541,True,True,-1.0,False
C00542,True,True,-1.0,False
C00543,True,False,,False
C00544,True,True,1.0,False
C00545,True,True,0.0,False
C00546,True,False,,False
C00547,True,False,,False
C00548,True,True,0.0,True
C00549,True,False,,False
C00550,True,False,,False
C00551,True,False,,False
C00552,True,True,-1.0,False
C00553,True,True,0.0,False
C00554,True,True,-1.0,False
C00555,True,False,,False
C00556,True,False,,False
C00557,True,True,0.0,False
C00558,True,True,0.0,False
C00559,True,True,1.0,False
C00560,True,True,-1.0,False
C00561,True,True,1.0,False
C00562,True,True,0.0,False
C00563,True,False,,False
C00564,True,True,1.0,False
C00565,True,True,-1.0,False
C00566,True,True,0.0,False
C00567,True,False,,False
C00568,True,True,1.0,True
C00569,True,False,,False
C00570,True,False,,False
C00571,True,True,0.0,False
C00572,True,True,1.0,False
C00573,True,True,0.0,False
C00574,True,True,-1.0,False
C00575,True,True,-1.0,False
C00576,True,True,0.0,False
C00577,True,True,1.0,False
C00578,True,False,,False
C00579,True,True,0.0,False
C00580,True,False,,False
C00581,True,False,,False
C00582,True,True,0.0,False
C00583,True,False,,False
C00584,True,False,,False
C00585,True,True,0.0,False
C00586,True,True,-1.0,False
C00587,True,True,0.0,True
C00588,True,True,-1.0,False
C00589,True,False,,False
C00590,True,True,0.0,True
C00591,True,False,,False
C00592,True,False,,False
C00593,True,True,1.0,False
C00594,True,True,0.0,True
C00595,True,True,-1.0,False
C00596,True,False,,False
C00597,True,True,1.0,False
C00598,True,True,0.0,False
C00599,True,False,,False
C00600,True,True,0.0,False
C00601,True,True,0.0,True
C00602,True,True,0.0,False
C00603,True,True,-1.0,False
C00604,True,True,0.0,False
C00605,True,True,0.0,False
C00606,True,False,,False
C00607,True,False,,False
C00608,True,False,,False
C00609,True,True,1.0,True
C00610,True,True,0.0,False
C00611,True,True,1.0,False
C00612,True,True,1.0,False
C00613,True,True,-1.0,False
C00614,True,True,-1.0,False
C00615,True,True,-1.0,False
C00616,True,False,,False
C00617,True,False,,False
C00618,True,False,,False
C00619,True,True,1.0,False
C00620,True,True,0.0,False
C00621,True,False,,False
C00622,True,True,0.0,False
C00623,True,True,0.0,False
C00624,True,False,,False
C00625,True,True,-1.0,True
C00626,True,True,-1.0,False
C00627,True,False,,False
C00628,True,True,0.0,False
C00629,True,True,0.0,False
C00630,True,False,,False
C00631,True,True,-1.0,False
C00632,True,True,-1.0,True
C00633,True,True,0.0,False
C00634,True,False,,False
C00635,True,True,0.0,False
C00636,True,True,-1.0,False
C00637,True,True,0.0,False
C00638,True,False,,False
C00639,True,True,0.0,False
C00640,True,False,,False
C00641,True,True,-1.0,False
C00642,True,True,0.0,False
C00643,True,True,-1.0,False
C00644,True,True,0.0,False
C00645,True,True,-1.0,False
C00646,True,True,1.0,False
C00647,True,True,0.0,False
C00648,True,True,0.0,False
C00649,True,True,1.0,True
C00650,True,True,0.0,False
C00651,True,False,,False
C00652,True,False,,False
C00653,True,True,1.0,False
C00654,True,False,,False
C00655,True,True,1.0,False
C00656,True,True,-1.0,True
C00657,True,False,,False
C00658,True,True,-1.0,False
C00659,True,True,0.0,False
C00660,True,True,-1.0,False
C00661,True,True,-1.0,True
C00662,True,True,-1.0,False
C00663,True,False,,False
C00664,True,False,,False
C00665,True,False,,False
C00666,True,True,0.0,False
C00667,True,True,-1.0,False
C00668,True,True,0.0,True
C00669,True,False,,False
C00670,True,True,0.0,False
C00671,True,True,1.0,False
C00672,True,True,1.0,False
C00673,True,True,0.0,False
C00674,True,False,,False
C00675,True,True,1.0,False
C00676,True,True,0.0,False
C00677,True,True,1.0,False
C00678,True,True,-1.0,False
C00679,True,True,1.0,False
C00680,True,True,1.0,True
C00681,True,False,,False
C00682,True,False,,False
C00683,True,False,,False
C00684,True,True,0.0,False
C00685,True,True,1.0,False
C00686,True,False,,False
C00687,True,True,0.0,False
C00688,True,True,-1.0,False
C00689,True,False,,False
C00690,True,False,,False
C00691,True,True,0.0,False
C00692,True,True,1.0,False
C00693,True,True,0.0,False
C00694,True,True,-1.0,False
C00695,True,True,0.0,False
C00696,True,False,,False
C00697,True,True,1.0,False
C00698,True,False,,False
C00699,True,False,,False
C00700,True,False,,False
C00701,True,True,1.0,False
C00702,True,False,,False
C00703,True,False,,False
C00704,True,False,,False
C00705,True,True,0.0,False
C00706,True,False,,False
C00707,True,True,1.0,True
C00708,True,True,1.0,False
C00709,True,False,,False
C00710,True,False,,False
C00711,True,True,-1.0,True
C00712,True,True,1.0,False
C00713,True,False,,False
C00714,True,True,0.0,False
C00715,True,True,-1.0,False
C00716,True,False,,False
C00717,True,True,1.0,False
C00718,True,True,0.0,False
C00719,True,False,,False
C00720,True,False,,False
C00721,True,True,1.0,False
C00722,True,False,,False
C00723,True,True,0.0,True
C00724,True,True,0.0,False
C00725,True,True,0.0,False
C00726,True,True,1.0,False
C00727,True,False,,False
C00728,True,True,0.0,False
C00729,True,True,0.0,False
C00730,True,True,0.0,True
C00731,True,True,1.0,True
C00732,True,True,1.0,False
C00733,True,False,,False
C00734,True,True,0.0,False
C00735,True,False,,False
C00736,True,True,1.0,False
C00737,True,True,0.0,False
C00738,True,True,0.0,False
C00739,True,False,,False
C00740,True,True,0.0,False
C00741,True,True,0.0,False
C00742,True,False,,False
C00743,True,True,0.0,False
C00744,True,False,,False
C00745,True,True,1.0,False
C00746,True,True,-1.0,False
C00747,True,False,,False
C00748,True,False,,False
C00749,True,True,0.0,False
C00750,True,True,1.0,False
C00751,True,True,1.0,False
C00752,True,False,,False
C00753,True,False,,False
C00754,True,False,,False
C00755,True,False,,False
C00756,True,True,-1.0,False
C00757,True,True,1.0,True
C00758,True,False,,False
C00759,True,True,1.0,False
C00760,True,True,1.0,False
C00761,True,False,,False
C00762,True,True,0.0,False
C00763,True,True,1.0,False
C00764,True,False,,False
C00765,True,True,0.0,False
C00766,True,False,,False
C00767,True,False,,False
C00768,True,True,-1.0,True
C00769,True,False,,False
C00770,True,True,0.0,False
C00771,True,True,0.0,True
C00772,True,False,,False
C00773,True,True,1.0,False
C00774,True,True,1.0,True
C00775,True,True,0.0,True
C00776,True,True,-1.0,False
C00777,True,True,1.0,False
C00778,True,False,,False
C00779,True,True,-1.0,False
C00780,True,True,0.0,False
C00781,True,True,0.0,False
C00782,True,True,0.0,True
C00783,True,False,,False
C00784,True,False,,False
C00785,True,False,,False
C00786,True,False,,False
C00787,True,False,,False
C00788,True,True,0.0,False
C00789,True,False,,False
C00790,True,True,-1.0,True
C00791,True,True,1.0,False
C00792,True,True,0.0,False
C00793,True,True,0.0,False
C00794,True,False,,False
C00795,True,True,1.0,False
C00796,True,False,,False
C00797,True,True,0.0,False
C00798,True,True,-1.0,False
C00799,True,True,1.0,False
C00800,True,False,,False
C00801,True,True,1.0,False
C00802,True,False,,False
C00803,True,True,1.0,False
C00804,True,False,,False
C00805,True,False,,False
C00806,True,True,1.0,False
C00807,True,True,0.0,False
C00808,True,False,,False
C00809,True,False,,False
C00810,True,True,0.0,False
C00811,True,True,-1.0,False
C00812,True,True,1.0,True
C00813,True,False,,False
C00814,True,False,,False
C00815,True,True,-1.0,False
C00816,True,False,,False
C00817,True,True,0.0,True
C00818,True,True,1.0,False
C00819,True,False,,False
C00820,True,True,1.0,False
C00821,True,True,0.0,False
C00822,True,False,,False
C00823,True,True,0.0,False
C00824,True,False,,False
C00825,True,False,,False
C00826,True,True,1.0,False
C00827,True,True,1.0,True
C00828,True,True,-1.0,False
C00829,True,True,-1.0,False
C00830,True,True,0.0,True
C00831,True,False,,False
C00832,True,False,,False
C00833,True,True,0.0,False
C00834,True,True,0.0,False
C00835,True,True,-1.0,True
C00836,True,False,,False
C00837,True,False,,False
C00838,True,False,,False
C00839,True,True,-1.0,False
C00840,True,False,,False
C00841,True,True,1.0,False
C00842,True,True,0.0,False
C00843,True,True,1.0,False
C00844,True,False,,False
C00845,True,True,1.0,True
C00846,True,False,,False
C00847,True,True,0.0,False
C00848,True,True,1.0,True
C00849,True,False,,False
C00850,True,False,,False
C00851,True,False,,False
C00852,True,True,-1.0,False
C00853,True,True,-1.0,False
C00854,True,False,,False
C00855,True,True,0.0,False
C00856,True,False,,False
C00857,True,True,1.0,True
C00858,True,True,0.0,False
C00859,True,False,,False
C00860,True,False,,False
C00861,True,False,,False
C00862,True,True,1.0,False
C00863,True,False,,False
C00864,True,False,,False
C00865,True,True,0.0,True
C00866,True,True,-1.0,False
C00867,True,True,0.0,False
C00868,True,True,1.0,False
C00869,True,False,,False
C00870,True,True,1.0,False
C00871,True,False,,False
C00872,True,True,-1.0,False
C00873,True,True,1.0,False
C00874,True,True,-1.0,False
C00875,True,False,,False
C00876,True,False,,False
C00877,True,True,0.0,False
C00878,True,True,0.0,False
C00879,True,True,-1.0,False
C00880,True,True,-1.0,False
C00881,True,True,1.0,False
C00882,True,True,1.0,False
C00883,True,True,-1.0,False
C00884,True,False,,False
C00885,True,False,,False
C00886,True,False,,False
C00887,True,True,-1.0,False
C00888,True,True,0.0,False
C00889,True,True,1.0,False
C00890,True,True,0.0,False
C00891,True,True,0.0,False
C00892,True,False,,False
C00893,True,False,,False
C00894,True,False,,False
C00895,True,True,-1.0,True
C00896,True,False,,False
C00897,True,True,0.0,False
C00898,True,False,,False
C00899,True,False,,False
C00900,True,True,0.0,False
C00901,True,False,,False
C00902,True,False,,False
C00903,True,False,,False
C00904,True,True,-1.0,False
C00905,True,True,0.0,False
C00906,True,True,0.0,False
C00907,True,True,0.0,False
C00908,True,True,0.0,False
C00909,True,False,,False
C00910,True,True,0.0,True
C00911,True,True,0.0,False
C00912,True,False,,False
C00913,True,True,0.0,False
C00914,True,True,0.0,False
C00915,True,False,,False
C00916,True,False,,False
C00917,True,True,0.0,True
C00918,True,False,,False
C00919,True,True,0.0,True
C00920,True,True,-1.0,False
C00921,True,False,,False
C00922,True,False,,False
C00923,True,True,0.0,False
C00924,True,True,0.0,False
C00925,True,False,,False
C00926,True,True,1.0,False
C00927,True,True,1.0,True
C00928,True,False,,False
C00929,True,True,-1.0,False
C00930,True,False,,False
C00931,True,True,-1.0,False
C00932,True,False,,False
C00933,True,True,0.0,False
C00934,True,True,1.0,False
C00935,True,False,,False
C00936,True,False,,False
C00937,True,False,,False
C00938,True,True,0.0,True
C00939,True,False,,False
C00940,True,False,,False
C00941,True,True,1.0,True
C00942,True,True,0.0,False
C00943,True,False,,False
C00944,True,False,,False
C00945,True,False,,False
C00946,True,True,0.0,False
C00947,True,True,-1.0,False
C00948,True,True,0.0,True
C00949,True,True,0.0,True
C00950,True,False,,False
C00951,True,True,0.0,False
C00952,True,False,,False
C00953,True,True,0.0,False
C00954,True,False,,False
C00955,True,True,0.0,True
C00956,True,False,,False
C00957,True,False,,False
C00958,True,False,,False
C00959,True,True,1.0,False
C00960,True,False,,False
C00961,True,True,-1.0,False
C00962,True,True,-1.0,False
C00963,True,True,1.0,False
C00964,True,False,,False
C00965,True,False,,False
C00966,True,False,,False
C00967,True,True,0.0,False
C00968,True,True,0.0,True
C00969,True,False,,False
C00970,True,True,-1.0,True
C00971,True,False,,False
C00972,True,False,,False
C00973,True,True,1.0,True
C00974,True,False,,False
C00975,True,True,-1.0,False
C00976,True,False,,False
C00977,True,True,1.0,False
C00978,True,False,,False
C00979,True,True,0.0,False
C00980,True,True,1.0,False
C00981,True,True,1.0,False
C00982,True,False,,False
C00983,True,False,,False
C00984,True,True,1.0,False
C00985,True,True,0.0,True
C00986,True,True,0.0,False
C00987,True,False,,False
C00988,True,False,,False
C00989,True,True,0.0,False
C00990,True,True,1.0,False
C00991,True,False,,False
C00992,True,True,0.0,True
C00993,True,False,,False
C00994,True,False,,False
C00995,True,True,1.0,False
C00996,True,False,,False
C00997,True,False,,False
C00998,True,True,1.0,False
C00999,True,True,-1.0,True
C01000,True,False,,False
C01001,True,True,1.0,True
C01002,True,True,1.0,False
C01003,True,True,0.0,False
C01004,True,False,,False
C01005,True,True,-1.0,True
C01006,True,True,1.0,True
C01007,True,True,0.0,True
C01008,True,False,,False
C01009,True,False,,False
C01010,True,False,,False
C01011,True,False,,False
C01012,True,True,0.0,False
C01013,True,True,-1.0,True
C01014,True,True,1.0,False
C01015,True,True,1.0,False
C01016,True,False,,False
C01017,True,False,,False
C01018,True,True,1.0,False
C01019,True,False,,False
C01020,True,True,0.0,True
C01021,True,True,1.0,False
C01022,True,False,,False
C01023,True,True,1.0,False
C01024,True,True,1.0,False
C01025,True,True,1.0,False
C01026,True,True,1.0,False
C01027,True,True,0.0,False
C01028,True,True,0.0,False
C01029,True,True,1.0,True
C01030,True,True,0.0,False
C01031,True,True,0.0,True
C01032,True,False,,False
C01033,True,True,1.0,False
C01034,True,False,,False
C01035,True,True,-1.0,False
C01036,True,True,1.0,False
C01037,True,False,,False
C01038,True,False,,False
C01039,True,True,-1.0,False
C01040,True,True,0.0,True
C01041,True,True,1.0,False
C01042,True,True,1.0,False
C01043,True,True,-1.0,False
C01044,True,True,-1.0,False
C01045,True,False,,False
C01046,True,True,0.0,False
C01047,True,False,,False
C01048,True,False,,False
C01049,True,False,,False
C01050,True,True,1.0,False
C01051,True,False,,False
C01052,True,False,,False
C01053,True,False,,False
C01054,True,True,1.0,False
C01055,True,False,,False
C01056,True,True,0.0,False
C01057,True,False,,False
C01058,True,False,,False
C01059,True,True,1.0,False
C01060,True,True,0.0,False
C01061,True,True,-1.0,False
C01062,True,True,0.0,False
C01063,True,False,,False
C01064,True,True,1.0,True
C01065,True,True,-1.0,False
C01066,True,True,1.0,False
C01067,True,True,0.0,True
C01068,True,True,0.0,False
C01069,True,False,,False
